,idMunicipio,idMacroRegiao,idRegiaoSaude,municipio,lat,lon,macroRegiao,regiaoSaude,data,quantidade,tipo
84,231135,8,18,QUIXELO,-625271,-3920119,CARIRI,18ª REGIÃO IGUATU,2020-04-03,1.0,Suspeito
85,231135,8,18,QUIXELO,-625271,-3920119,CARIRI,18ª REGIÃO IGUATU,2020-04-06,1.0,Suspeito
86,231190,8,18,SABOEIRO,-653859,-3990407,CARIRI,18ª REGIÃO IGUATU,2020-03-27,1.0,Suspeito
87,231190,8,18,SABOEIRO,-653859,-3990407,CARIRI,18ª REGIÃO IGUATU,2020-04-08,1.0,Suspeito
88,230060,8,20,ALTANEIRA,-700102,-3973774,CARIRI,20ª REGIÃO CRATO,2020-03-31,1.0,Suspeito
89,230060,8,20,ALTANEIRA,-700102,-3973774,CARIRI,20ª REGIÃO CRATO,2020-04-01,1.0,Suspeito
90,230080,8,20,ANTONINA DO NORTE,-677175,-3998689,CARIRI,20ª REGIÃO CRATO,2020-03-22,1.0,Suspeito
91,230130,8,20,ARARIPE,-720762,-4004113,CARIRI,20ª REGIÃO CRATO,2020-04-03,1.0,Suspeito
92,230130,8,20,ARARIPE,-720762,-4004113,CARIRI,20ª REGIÃO CRATO,2020-04-04,1.0,Suspeito
93,230160,8,20,ASSARE,-687141,-3987175,CARIRI,20ª REGIÃO CRATO,2020-03-24,1.0,Suspeito
94,230160,8,20,ASSARE,-687141,-3987175,CARIRI,20ª REGIÃO CRATO,2020-03-29,1.0,Suspeito
95,230160,8,20,ASSARE,-687141,-3987175,CARIRI,20ª REGIÃO CRATO,2020-04-06,1.0,Suspeito
96,230270,8,20,CAMPOS SALES,-707141,-4037243,CARIRI,20ª REGIÃO CRATO,2020-03-16,1.0,Suspeito
97,230270,8,20,CAMPOS SALES,-707141,-4037243,CARIRI,20ª REGIÃO CRATO,2020-03-18,1.0,Suspeito
98,230270,8,20,CAMPOS SALES,-707141,-4037243,CARIRI,20ª REGIÃO CRATO,2020-03-26,1.0,Suspeito
99,230270,8,20,CAMPOS SALES,-707141,-4037243,CARIRI,20ª REGIÃO CRATO,2020-04-06,1.0,Suspeito
100,230270,8,20,CAMPOS SALES,-707141,-4037243,CARIRI,20ª REGIÃO CRATO,2020-04-10,2.0,Suspeito
101,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-03-09,2.0,Suspeito
102,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-03-10,1.0,Suspeito
103,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-03-19,1.0,Suspeito
104,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-03-20,2.0,Suspeito
105,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-03-21,1.0,Suspeito
106,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-03-23,4.0,Suspeito
107,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-03-24,6.0,Suspeito
108,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-03-25,7.0,Suspeito
109,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-03-26,2.0,Suspeito
110,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-03-27,1.0,Suspeito
111,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-03-31,6.0,Suspeito
112,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-04-01,5.0,Suspeito
113,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-04-04,3.0,Suspeito
114,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-04-06,2.0,Suspeito
115,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-04-07,3.0,Suspeito
116,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-04-08,4.0,Suspeito
117,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-04-09,1.0,Suspeito
118,230420,8,20,CRATO,-723384,-3940576,CARIRI,20ª REGIÃO CRATO,2020-04-09,1.0,Confirmado
