,idMunicipio,idMacroRegiao,idRegiaoSaude,descricaoMunicipio,latitude,longitude,descricaoMacroRegiao,data,quantidade,tipo,log_quantidade
91,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-03-31,6.0,Suspeito,1.791759469228055
92,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-04-01,5.0,Suspeito,1.6094379124341003
93,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-04-04,3.0,Suspeito,1.0986122886681098
94,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-04-06,2.0,Suspeito,0.6931471805599453
95,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-04-07,3.0,Suspeito,1.0986122886681098
96,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-04-08,4.0,Suspeito,1.3862943611198906
97,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-04-09,1.0,Suspeito,0.0
98,230420,8,20,CRATO,-723384,-3940576,CARIRI,2020-04-09,1.0,Confirmado,0.0
99,230430,8,20,FARIAS BRITO,-692514,-3955949,CARIRI,2020-03-23,1.0,Suspeito,0.0
100,230430,8,20,FARIAS BRITO,-692514,-3955949,CARIRI,2020-03-27,2.0,Suspeito,0.6931471805599453
101,230430,8,20,FARIAS BRITO,-692514,-3955949,CARIRI,2020-03-31,1.0,Óbito,0.0
102,230430,8,20,FARIAS BRITO,-692514,-3955949,CARIRI,2020-04-03,1.0,Suspeito,0.0
103,230430,8,20,FARIAS BRITO,-692514,-3955949,CARIRI,2020-04-03,1.0,Confirmado,0.0
104,230480,8,21,GRANJEIRO,-688638,-3921734,CARIRI,2020-04-09,2.0,Suspeito,0.6931471805599453
105,230540,8,17,ICO,-640068,-3885746,CARIRI,2020-03-24,4.0,Suspeito,1.3862943611198906
106,230540,8,17,ICO,-640068,-3885746,CARIRI,2020-03-25,2.0,Suspeito,0.6931471805599453
107,230540,8,17,ICO,-640068,-3885746,CARIRI,2020-03-26,1.0,Suspeito,0.0
108,230540,8,17,ICO,-640068,-3885746,CARIRI,2020-03-27,2.0,Suspeito,0.6931471805599453
109,230540,8,17,ICO,-640068,-3885746,CARIRI,2020-03-30,2.0,Suspeito,0.6931471805599453
110,230540,8,17,ICO,-640068,-3885746,CARIRI,2020-03-31,3.0,Suspeito,1.0986122886681098
111,230540,8,17,ICO,-640068,-3885746,CARIRI,2020-04-01,2.0,Confirmado,0.6931471805599453
112,230540,8,17,ICO,-640068,-3885746,CARIRI,2020-04-06,1.0,Suspeito,0.0
113,230540,8,17,ICO,-640068,-3885746,CARIRI,2020-04-06,1.0,Confirmado,0.0
114,230540,8,17,ICO,-640068,-3885746,CARIRI,2020-04-07,1.0,Suspeito,0.0
115,230540,8,17,ICO,-640068,-3885746,CARIRI,2020-04-08,1.0,Suspeito,0.0
116,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-03-19,1.0,Suspeito,0.0
117,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-03-21,1.0,Suspeito,0.0
118,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-03-23,4.0,Suspeito,1.3862943611198906
119,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-03-24,5.0,Suspeito,1.6094379124341003
120,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-03-26,4.0,Suspeito,1.3862943611198906
121,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-03-29,3.0,Suspeito,1.0986122886681098
122,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-03-30,1.0,Suspeito,0.0
123,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-03-31,1.0,Suspeito,0.0
124,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-04-03,1.0,Suspeito,0.0
125,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-04-03,1.0,Óbito,0.0
126,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-04-04,1.0,Suspeito,0.0
127,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-04-05,1.0,Suspeito,0.0
128,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-04-05,2.0,Confirmado,0.6931471805599453
129,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-04-06,3.0,Suspeito,1.0986122886681098
130,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-04-07,3.0,Suspeito,1.0986122886681098
131,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-04-08,1.0,Suspeito,0.0
132,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-04-08,3.0,Confirmado,1.0986122886681098
133,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-04-09,1.0,Óbito,0.0
134,230550,8,18,IGUATU,-635576,-3929265,CARIRI,2020-04-10,1.0,Confirmado,0.0
135,230570,8,17,IPAUMIRIM,-678723,-3871819,CARIRI,2020-04-06,1.0,Suspeito,0.0
136,230710,8,21,JARDIM,-757632,-3929231,CARIRI,2020-03-15,1.0,Suspeito,0.0
137,230710,8,21,JARDIM,-757632,-3929231,CARIRI,2020-03-25,1.0,Suspeito,0.0
138,230710,8,21,JARDIM,-757632,-3929231,CARIRI,2020-03-30,1.0,Suspeito,0.0
139,230710,8,21,JARDIM,-757632,-3929231,CARIRI,2020-04-06,1.0,Suspeito,0.0
140,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-07,2.0,Suspeito,0.6931471805599453
141,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-10,1.0,Suspeito,0.0
142,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-16,5.0,Suspeito,1.6094379124341003
143,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-17,1.0,Suspeito,0.0
144,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-19,3.0,Suspeito,1.0986122886681098
145,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-19,1.0,Confirmado,0.0
